ticker,date,filing_count,form_10k_count,form_10q_count,form_8k_count,filing_count_30d,filing_count_90d,form_8k_count_30d,form_10q_count_180d,form_10k_count_365d,days_since_last_filing,days_since_last_8k
ORCL,2020-08-17,0,0,0,0,0.0,2.0,0.0,2.0,2.0,56.0,62.0
ORCL,2020-08-18,0,0,0,0,0.0,2.0,0.0,2.0,2.0,57.0,63.0
ORCL,2020-08-19,0,0,0,0,0.0,2.0,0.0,2.0,2.0,58.0,64.0
ORCL,2020-08-20,0,0,0,0,0.0,2.0,0.0,2.0,2.0,59.0,65.0
ORCL,2020-08-21,1,0,0,1,1.0,3.0,1.0,2.0,2.0,0.0,0.0
ORCL,2020-08-24,0,0,0,0,1.0,3.0,1.0,2.0,2.0,3.0,3.0
ORCL,2020-08-25,0,0,0,0,1.0,3.0,1.0,2.0,2.0,4.0,4.0
ORCL,2020-08-26,0,0,0,0,1.0,3.0,1.0,2.0,2.0,5.0,5.0
ORCL,2020-08-27,0,0,0,0,1.0,3.0,1.0,2.0,2.0,6.0,6.0
ORCL,2020-08-28,0,0,0,0,1.0,3.0,1.0,2.0,2.0,7.0,7.0
ORCL,2020-08-31,0,0,0,0,1.0,3.0,1.0,2.0,2.0,10.0,10.0
ORCL,2020-09-01,0,0,0,0,1.0,3.0,1.0,1.0,2.0,11.0,11.0
ORCL,2020-09-02,0,0,0,0,1.0,3.0,1.0,1.0,2.0,12.0,12.0
ORCL,2020-09-03,0,0,0,0,1.0,3.0,1.0,1.0,2.0,13.0,13.0
ORCL,2020-09-04,0,0,0,0,1.0,3.0,1.0,1.0,2.0,14.0,14.0
ORCL,2020-09-08,0,0,0,0,1.0,3.0,1.0,1.0,2.0,18.0,18.0
ORCL,2020-09-09,0,0,0,0,1.0,3.0,1.0,1.0,2.0,19.0,19.0
ORCL,2020-09-10,1,0,0,1,2.0,4.0,2.0,1.0,2.0,0.0,0.0
ORCL,2020-09-11,0,0,0,0,2.0,4.0,2.0,1.0,2.0,1.0,1.0
ORCL,2020-09-14,0,0,0,0,2.0,4.0,2.0,1.0,2.0,4.0,4.0
ORCL,2020-09-15,1,0,1,0,3.0,5.0,2.0,2.0,2.0,0.0,5.0
ORCL,2020-09-16,0,0,0,0,3.0,5.0,2.0,2.0,2.0,1.0,6.0
ORCL,2020-09-17,0,0,0,0,3.0,5.0,2.0,2.0,2.0,2.0,7.0
ORCL,2020-09-18,0,0,0,0,3.0,5.0,2.0,2.0,2.0,3.0,8.0
ORCL,2020-09-21,0,0,0,0,3.0,5.0,2.0,2.0,2.0,6.0,11.0
ORCL,2020-09-22,0,0,0,0,3.0,5.0,2.0,2.0,2.0,7.0,12.0
ORCL,2020-09-23,0,0,0,0,3.0,5.0,2.0,2.0,2.0,8.0,13.0
ORCL,2020-09-24,0,0,0,0,3.0,5.0,2.0,2.0,2.0,9.0,14.0
ORCL,2020-09-25,0,0,0,0,3.0,5.0,2.0,2.0,2.0,10.0,15.0
ORCL,2020-09-28,0,0,0,0,3.0,5.0,2.0,2.0,2.0,13.0,18.0
ORCL,2020-09-29,0,0,0,0,3.0,5.0,2.0,2.0,2.0,14.0,19.0
ORCL,2020-09-30,0,0,0,0,3.0,5.0,2.0,2.0,2.0,15.0,20.0
ORCL,2020-10-01,0,0,0,0,3.0,5.0,2.0,2.0,2.0,16.0,21.0
ORCL,2020-10-02,0,0,0,0,3.0,5.0,2.0,2.0,2.0,17.0,22.0
ORCL,2020-10-05,0,0,0,0,2.0,5.0,1.0,2.0,2.0,20.0,25.0
ORCL,2020-10-06,0,0,0,0,2.0,5.0,1.0,2.0,2.0,21.0,26.0
ORCL,2020-10-07,0,0,0,0,2.0,5.0,1.0,2.0,2.0,22.0,27.0
ORCL,2020-10-08,0,0,0,0,2.0,5.0,1.0,2.0,2.0,23.0,28.0
ORCL,2020-10-09,0,0,0,0,2.0,5.0,1.0,2.0,2.0,24.0,29.0
ORCL,2020-10-12,0,0,0,0,2.0,5.0,1.0,2.0,2.0,27.0,32.0
