ticker,date,open,high,low,close,volume,source,collected_at
INTC,2021-12-16,47.0593,47.6714,46.9066,47.1431,35723400.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-17,46.9207,47.3192,46.3827,46.9481,54115616.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-20,46.2906,46.4942,45.409,46.0025,32497430.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-21,46.3171,47.1525,46.3171,47.0874,34455470.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-22,46.9669,47.3192,46.5676,47.2731,25130772.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-23,47.3748,47.9775,47.3474,47.5886,27168907.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-27,47.6252,48.2836,47.5811,48.1726,22632318.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-28,48.1632,48.3392,47.8852,48.0058,20799069.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-29,48.052,48.3581,47.9125,48.0708,15283336.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-30,48.1536,48.3581,47.9041,47.9871,19795174.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-12-31,48.1264,48.376,47.727,47.7647,17595207.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2022-01-03,47.9041,49.3697,47.8569,49.3509,36543568.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2022-01-04,49.6842,50.0224,48.8311,49.2849,49253949.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2022-01-05,50.2571,52.0955,49.9254,49.9631,63732036.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2022-01-06,50.6489,50.7043,49.5401,50.0931,38554367.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2022-01-07,50.259,50.4453,49.2943,49.5637,33119492.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2022-01-10,50.0554,51.298,49.4432,51.2055,53113330.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2022-01-11,51.4739,52.0129,50.76,51.8544,42907416.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2022-01-12,52.0646,52.1983,50.8344,51.6973,31415462.0,stooq,2026-05-21 19:51:15.904771+00:00
